# coding: utf-8
# 小鹤音形符号、补充简码等词库
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
# 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 本词库默认包含了临时生僻字、补充简码、增补字、符号及部分emoji表情


https://flypy.com	xhgw
https://bbs.flypy.com	xhlt
http://flypy.ys168.com	xhwp
http://xhrm.flypy.com	xhrm
/wx	oi

# 快捷符号，使用外接键盘时调换下面两行的数字
：“	;q
？	;w
（	;e
）	;r
@	;t
·	;y
＝	;u
〈	;i
〉	;o
～	;p
！	;a
……	;s
、	;d
《	;g
＋	;h
－	;j
×	;k
÷	;l
“	;z
→	;x
”	;c
——	;v
》	;b
〔	;n
〕	;m

# 表情
😓	hj
😭	ku
😂	xn
😠	nu
😳	fd
👍	ql
👌	ok
👎	ro
👏	gv
☕	ia
🍺	pj
🎂	dg
🙏	bt
🌹	mg
💤	uv
💔	ux
🐂	nq
🐂🚶	nr
🐎🐎🐅🐅	mh
🐾🐎👀🌸	gh
🖕	cc
🤔	sk

# windows QQ表情
/am	oqam
/aiq	oqaq
/bq	oqbq
/bs	oqbu
/bb	oqbb
/baiy	oqby
/bz	oqbz
/cy	oqcy
/ch	oqch
/cd	oqcd
/db	oqdb
/dg	oqdg
/dk	oqdk
/dx	oqdx
/dy	oqdy
/fw	oqfw
/fd	oqfd
/fendou	oqfd
/fan	oqfj
/fn	oqfn
/gg	oqgg
/gz	oqgv
/gy	oqgy
/hanx	oqhx
/huaix	oqhx
/hq	oqhq
/hx	oqhx
/ht	oqht
/hsh	oqhu
/zhh	oqhh
/yhh	oqhh
/cj	oqij
/jie	oqje
/xjj	oqjj
/jk	oqjk
/jy	oqjy
/jd	oqjd
/jw	oqjw
/kb	oqkb
/ka	oqka
/kf	oqkf
/kt	oqkt
/kel	oqkl
/kl	oqkl
/kuk	oqku
/kun	oqky
/lh	oqlh
/lengh	oqlh
/ll	oqll
/lw	oqlw
/mg	oqmg
/no	oqno
/ng	oqng
/ok	oqok
/oh	oqoh
/tuu	oqot
/pz	oqpz
/qiang	oqql
/qt	oqqt
/qq	oqqb
/qiao	oqqd
/qd	oqqq
/ruo	oqro
/se	oqse
/tx	oqtx
/tiao	oqtn
/tp	oqtp
/ts	oqts
/ty	oqty
/shl	oqul
/shuai	oquk
/shui	oquv
/zk	oqvk
/zhem	oqvm
/zhm	oqvm
/zhq	oqvq
/zhd	oqvd
/zt	oqvt
/wx	oqwx
/ws	oqwu
/wq	oqwq
/xk	oqxk
/xs	oqxs
/xia	oqxx
/xig	oqxg
/xu...	oqxu
/xyx	oqxy
/xw	oqxw
/yiw	oqyw
/yx	oqyx
/yb	oqyb
/youl	oqyl
/yun	oqyy
/zj	oqzj
/wzm	oqzm
/sr	oqsr
/jx	oqjx
/px	oqpx
/mm	oqmm
/wn	oqwn
/lb	oqlb
/zyj	oqvy
/kk	oqkk
/aini	oqan
/bp	oqbp
/bt	oqbt
/tl	oqtl
/dz	oqdz
/wl	oqwl
/chi	oqii
/kg	oqkg
/cp	oqip
/hb	oqhb
/yao	oqyc
/hn	oqhn

# 二重简码
按	a
吧	b
此	c
打	d
嗯	e
发	f
管	g
化	h
见	j
块	k
立	l
嘛	m
哪	n
期	q
入	r
随	s
它	t
之	v
位	w
性	x
子	z
宝	bc
笨	bf
甭	bg
逼	bi
备	bw
猜	cd
达	da
道	dc
东	ds
逗	dz
份	ff
疯	fg
复	fu
搞	gc
钙	gd
哥	ge
官	gr
故	gu
华	hx
壶	hu
扯	ie
程	ig
臭	iz
今	jb
极	ji
贱	jm
居	ju
佳	jx
抠	kz
溜	lq
骂	ma
美	mw
浓	ns
弃	qi
缺	qt
惹	re
忍	rf
扔	rg
寺	si
淘	tc
替	ti
舔	tm
通	ts
退	tv
省	ug
守	uz
招	vc
症	vg
战	vj
终	vs
文	wf
忘	wh
玩	wj
未	ww
心	xb
型	xk
凶	xs
隐	yb
野	ye
杨	yh
严	yj
园	yr
友	yz
遭	zc
揍	zz
坐	zo
堆	dv

#符号
！	oa
：	ob
一	oba	111
丨	obl	111
丿	obp	111
丶	obd	111
乛	obv	111
乀	obn	111
鱼	oba
冖	obb	100
宀	obb	99
丷	obb	98
疒	obb	97
勹	obb	96
比左部	obb	95
艹	obc	100
廾	obc	99
冫	obd	100
氵	obd	99
	obd	98
刂	obd	97
阝	obe	100
卩	obe	99
彐	obe	98
山	obe	97
见下部	obe	96
扌	obf	100
寿带上部	obf	99
	obf	98
缶	obf	97
既左部	obg	100
艮	obg	99
鬼	obg	98
革	obg	96
骨	obg	97
灬	obh	100
虍	obh	99
黑	obh	98
余下部	obh	97
彳	obi	100
亍	obi	99
虫	obi	98
钅	obj	100
金	obj	99
	obj	98
匚	obk	100
冂	obk	99
凵	obk	98
囗	obk	97
㠯	obk	96
耂	obl	100
立	obl	99
龙	obl	98
朩	obm
	obn	100
牜	obn	99
日	obo	100
月	obo	99
目	obo	98
礻	obp	100
衤	obp	99
犭	obq	100
求	obq	99
具其上部	obq	98
亻	obr
纟	obs	100
厶	obs	99
	obs	98
罒	obs	97
田	obt
饣	obu	100
	obu	99
	obu	98
氺	obu	97
石	obu	96
	obv	100
豸	obv	99
亠	obw	100
夂	obw	99
攵	obw	98
文	obw	97
忄	obx	100
乂	obx	99
⺍	obx	98
	obx	97
	obx	96
讠	oby	100
	oby	99
	oby	98
𧘇	oby	97
羊	oby	96
	obz	100
廴	obz	99
辶	obz	98
”	oc
、	od
（	oh
）	oj
《	ok	90
》	ol
〔	on
〕	om
；	of
成组标点d	ofb
“”	ofbd	100
（）	ofbd	99
《》	ofbd	98
〈〉	ofbd	97
〔〕	ofbd	96
‘’	ofbd	95
「」	ofbd	94
『』	ofbd	93
【】	ofbd	92
〖〗	ofbd	91
［］	ofbd	90
｛｝	ofbd	89
．	ofbd	88
。	ofbd	87
，	ofbd	86
、	ofbd	85
；	ofbd	84
：	ofbd	83
？	ofbd	82
！	ofbd	81
…	ofbd	80
—	ofbd	79
·	ofbd	78
ˉ	ofbd	77
ˇ	ofbd	76
¨	ofbd	75
々	ofbd	74
～	ofbd	73
‖	ofbd	72
∶	ofbd	71
＂	ofbd	70
	ofbd	69
｀	ofbd	68
｜	ofbd	67
成组点数u	ofd	100
⒈	ofdu	100
⒉	ofdu	99
⒊	ofdu	98
⒋	ofdu	97
⒌	ofdu	96
⒍	ofdu	95
⒎	ofdu	94
⒏	ofdu	93
⒐	ofdu	92
⒑	ofdu	91
⒒	ofdu	90
⒓	ofdu	89
⒔	ofdu	88
⒕	ofdu	87
⒖	ofdu	86
⒗	ofdu	85
⒘	ofdu	84
⒙	ofdu	83
⒚	ofdu	82
⒛	ofdu	81
成组单位w	ofd	99
㎎	ofdw	100
㎏	ofdw	99
㎜	ofdw	98
㎝	ofdw	97
㎞	ofdw	96
㎡	ofdw	95
nm	ofdw	94
μm	ofdw	93
μg	ofdw	92
㏄	ofdw	91
㏎	ofdw	90
㏑	ofdw	89
㏒	ofdw	88
㏕	ofdw	87
成组俄大d	ofe	100
А	ofed	100
Б	ofed	99
В	ofed	98
Г	ofed	97
Д	ofed	96
Е	ofed	95
Ж	ofed	94
З	ofed	93
И	ofed	92
Й	ofed	91
К	ofed	90
Л	ofed	89
М	ofed	88
Н	ofed	87
О	ofed	86
П	ofed	85
Р	ofed	84
С	ofed	83
Т	ofed	82
У	ofed	81
Ф	ofed	80
Х	ofed	79
Ц	ofed	78
Ч	ofed	77
Ш	ofed	76
Щ	ofed	75
Ъ	ofed	74
Ы	ofed	73
Ь	ofed	72
Э	ofed	71
Ю	ofed	70
Я	ofed	69
Ё	ofed	68
成组俄小x	ofe	99
а	ofex	100
б	ofex	99
в	ofex	98
г	ofex	97
д	ofex	96
е	ofex	95
ж	ofex	94
з	ofex	93
и	ofex	92
й	ofex	91
к	ofex	90
л	ofex	89
м	ofex	88
н	ofex	87
о	ofex	86
п	ofex	85
р	ofex	84
с	ofex	83
т	ofex	82
у	ofex	81
ф	ofex	80
х	ofex	79
ц	ofex	78
ч	ofex	77
ш	ofex	76
щ	ofex	75
ъ	ofex	74
ы	ofex	73
ь	ofex	72
э	ofex	71
ю	ofex	70
я	ofex	69
ё	ofex	68
成组括数	ofk
⑴	ofku	100
⑵	ofku	99
⑶	ofku	98
⑷	ofku	97
⑸	ofku	96
⑹	ofku	95
⑺	ofku	94
⑻	ofku	93
⑼	ofku	92
⑽	ofku	91
⑾	ofku	90
⑿	ofku	89
⒀	ofku	88
⒁	ofku	87
⒂	ofku	86
⒃	ofku	85
⒄	ofku	84
⒅	ofku	83
⒆	ofku	82
⒇	ofku	81
成组货币b	ofh
€	ofhb	100
$	ofhb	99
￠	ofhb	98
£	ofhb	97
￡	ofhb	96
¥	ofhb	94
￥	ofhb	93
฿	ofhb	92
═	ofht	100
║	ofht	99
╧	ofht	98
╪	ofht	97
╤	ofht	96
╡	ofht	95
╞	ofht	94
▁	ofht	93
╕	ofht	92
╒	ofht	91
╛	ofht	90
╘	ofht	89
成组日大d	ofr	100
ァ	ofrd	100
ア	ofrd	99
ィ	ofrd	98
イ	ofrd	97
ゥ	ofrd	96
ウ	ofrd	95
ェ	ofrd	94
エ	ofrd	93
ォ	ofrd	92
オ	ofrd	91
カ	ofrd	90
ガ	ofrd	89
キ	ofrd	88
ギ	ofrd	87
ク	ofrd	86
グ	ofrd	85
ケ	ofrd	84
ゲ	ofrd	83
コ	ofrd	82
ゴ	ofrd	81
サ	ofrd	80
ザ	ofrd	79
シ	ofrd	78
ジ	ofrd	77
ス	ofrd	76
ズ	ofrd	75
セ	ofrd	74
ゼ	ofrd	73
ソ	ofrd	72
ゾ	ofrd	71
タ	ofrd	70
ダ	ofrd	69
チ	ofrd	68
ヂ	ofrd	67
ッ	ofrd	66
ツ	ofrd	65
ヅ	ofrd	64
テ	ofrd	63
デ	ofrd	62
ト	ofrd	61
ド	ofrd	60
ナ	ofrd	59
ニ	ofrd	58
ヌ	ofrd	57
ネ	ofrd	56
ノ	ofrd	55
ハ	ofrd	54
バ	ofrd	53
パ	ofrd	52
