阿胶	［同］驴皮胶 
阿姨	［反］叔叔 
阿谀	［同］谄谀 谄媚 献媚 狐媚 
阿谀逢迎	［同］阿谀奉承 阿其所好 吹吹拍拍 戴高帽子 ［反］摸老虎屁股 太岁头上动土 
阿谀奉承	［同］阿其所好 吹吹拍拍 戴高帽子 阿谀逢迎 
挨次	［同］顺次 依次 以次 次第 
挨饿	［同］饥火 饥饿 饿 饥 
挨近	［同］靠近 邻近 接近 临近 ［反］离开 远离 
哀	［反］欢 喜 乐 
哀兵必胜	［反］骄兵必败 
哀愁	［同］哀伤 悲哀 悲戚 悲愁 ［反］高兴 开心 愉快 快乐 欢乐 欢欣 欢畅 欢喜 欣喜 喜悦 
哀辞	［同］挽辞 祭文 诔 悼词 
哀悼	［同］伤悼 悲悼 悼念 追悼 
哀而不伤	［反］哀毁骨立 
哀告	［同］央求 哀求 
哀歌	［同］悲歌 
哀号1	［同］悲鸣 哀鸣  
哀号2	［同］大恸 恸 号 号哭 
哀怜	［同］爱怜 怜悯 可怜 同情 
哀鸣	［同］哀号 悲鸣 
哀求	［同］哀告 央求 
哀伤	［同］悲哀 悲戚 悲愁 哀愁 ［反］高兴 开心 愉快 快乐 欢乐 欢欣 欢畅 欢喜 欣喜 喜悦 
哀叹	［同］吟啸 悲叹 
哀痛	［同］沉痛 痛心 悲愤 悲痛 ［反］高兴 开心 愉快 快乐 欢乐 欢欣 欢畅 欢喜 欣喜 喜悦 
哀吟	［同］长歌当哭 悲歌 
哀怨	［同］悲恨 
癌瘤	［同］毒瘤 恶性肿瘤 癌肿 
癌肿	［同］癌瘤 毒瘤 恶性肿瘤 
矮	［同］矬 低 低矮 ［反］高 
矮墎墎	［同］五短身材 矮胖 ［反］细高挑儿 
矮凳	［同］脚凳 脚踏 踏床 
矮小	［同］短小 ［反］巨人 大汉 
碍眼	［反］顺眼 
爱	［同］喜爱 怜爱 心爱 钟爱 ［反］恨 憎 
爱财如命	［同］满身铜臭 见钱眼开 财迷心窍 ［反］挥金如土 挥霍无度 一掷千金  
爱称	［反］憎称 
爱宠	［反］失宠 
爱戴	［同］拥护 拥 拥戴 ［反］轻慢 侮慢 
爱国	［反］卖国 
爱国主义	［反］卖国主义 
爱好	［同］喜好 癖好 癖 嗜好 ［反］厌恶 讨厌 嫌 
爱好者	［同］嗜好者 
爱护	［反］损坏 损害 伤害 损伤 破坏 
爱怜	［同］怜悯 可怜 同情 哀怜  
爱恋	［同］热恋 恋爱 
爱慕1	［同］喜欢 喜爱 喜好 欢喜  
爱慕2	［同］向慕 
爱情	［同］情爱 情意 柔情 痴情 
爱人1	［同］男人 先生 夫 丈夫 
爱人2	［同］妻室 夫人 妻 妻子 
爱惜	［同］珍惜 ［反］糟蹋 
爱益	［反］受害 
爱子	［同］娇儿 娇哥儿 小儿 犬子  
安	［同］安装 装置 设置 安设 ［反］危 
安邦定国	［同］治理国家 平治天下 经纬天下 治国安民 
安不忘危	［同］警惕 警觉 小心 居安思危  
安定	［同］安神 压惊 定心 
安定	［反］动乱 
安顿	［同］安排 铺排 安置安 
安分	［同］本分 规矩 老实 
安分	［反］非分 
安分守己	［同］安守本分 循规蹈矩 随遇而安 安贫乐道 ［反］胡作非为 为非作歹 违法乱纪 无法无天 横行不法 横行无忌 横行霸道 
安抚	［同］存抚 安慰 劝慰 抚慰 
安家1	［同］成家 
安家2	［同］落户 安家落户 定居 
安家落户	［同］定居 安家 落户 
安静	［同］宁静 恬静 心静 平静 
安静	［反］喧闹 喧哗 喧嚣 吵闹 嘈杂 
安居乐业	［反］流离失所 颠沛流离 流离转徙 浪迹江湖 闯荡江湖 
安乐椅	［同］扶手椅 
安眠	［同］入睡 入梦 入眠 成眠 
安眠	［反］失眠 
安眠药	［同］催眠药 
安能	［同］什么 如何 若何 何以 
安宁	［反］动乱 
安排1	［同］处理 料理 操持 处置 
安排2	［同］铺排 安置 安顿 
安培计	［同］电流计 
安贫乐道	［同］安分守己 安守本分 循规蹈矩 随遇而安 
安全	［反］危险 危急 
安全剃刀	［同］剃刀 剃头刀 保险刀 
安如磐石	［反］危如累卵 岌岌可危 摇摇欲坠  
安设	［同］安 安装 装置 设置  
安身之地	［同］容身之地 托足之地 栖身之地 立足之地 
安神	［同］压惊 定心 安定 
安守本分	［同］循规蹈矩 随遇而安 安贫乐道 安分守己 
安土重迁	［反］四海为家 
安慰	［反］刺激 
安慰1	［同］快慰 心安 安心 安详 
安慰2	［同］劝慰 抚慰 安抚 存抚 
安稳	［反］摇摆 摇晃 晃荡 晃动 晃悠 
安稳	［同］落实 踏实 笃定 
安息香	［同］藏香 
安闲	［反］繁忙 忙碌 匆忙 急忙 
安详	［同］安慰 快慰 心安 安心 祥和 
安心	［同］安详 安慰 快慰 心安 
安营扎寨	［同］扎营 宿营 
安于现状	［反］开拓进取 不甘寂寞 
安葬	［同］埋葬 下葬 土葬 落葬 
安之若素	［同］一笑置之 付之一笑 掉以轻心 淡然处之 
安置	［同］安顿 安排 铺排 
安装	［反］拆卸 
安装	［同］装置 设置 安设 安 
安琪儿	［同］天使 
按兵不动	［反］雷厉风行 闻风而动 闻风而起 
按摩	［同］推拿 
按期	［同］按时 克期 限期 如期 ［反］过期 逾期 
按时	［同］克期 限期 如期 按期 ［反］随时 
按图索骥	［同］寻 找 搜 
按语	［同］按 
按照	［同］比照 遵照 遵循 依照  
暗	［同］阴暗 幽暗 晦暗 昏暗 ［反］明 亮  
暗藏	［反］暴露 显露 公开 
暗处	［反］明处 
暗淡	［反］光明 明亮 光亮 明朗 鲜明 
暗沟	［反］明沟 
暗害	［同］暗算 算计 计算 放暗箭 
暗河	［同］阴河 
暗红	［同］深红 殷红  ［反］深绿 暗绿 老绿 深绿 
暗间儿	［反］明间儿 
暗箭	［同］鬼蜮伎俩 冷箭 ［反］明枪 
暗箭难防	［反］明枪好躲 
暗礁	［同］礁石 礁 
暗流1	［同］伏流 地下水 
暗流2	［同］逆流 巨流 洪流  
暗绿	［反］深红 暗红 老红 
暗码	［反］明码 
暗盘	［反］明盘 
暗器	［同］利器 凶器 
暗青	［同］深青 苍苍 
暗杀	［同］刺杀 行刺 刺 
暗伤	［同］内伤 
暗射	［同］影射 隐射 
暗示	［同］丢眼色 使眼色 
暗送秋波	［同］传情 眉目传情 脉脉传情 眉来眼去 
暗算	［同］算计 计算 放暗箭 暗害 
暗无天日	［同］有天无日 不见天日 漆黑一团 一团漆黑 
暗笑	［同］窃笑 
暗影	［同］影 影子 投影 阴影  
暗语	［同］侃儿语 切口 黑话 隐语 
暗中	［反］公开 
岸	［同］岸边 水边 滨 沿 
岸标	［同］草标儿 商标 路标 导标 
案	［同］案卷 
案件	［同］案子 案 公案 
案卷	［同］案 
案例	［同］实例 范例 特例 战例  
肮脏	［同］龌龊 ［反］干净 清洁 洁净  
昂贵	［反］低廉 便宜 
昂贵1	［同］高昂 米珠薪桂 食玉炊桂 
昂贵2	［同］名贵 宝贵 华贵 贵重  
昂然	［同］激昂 激扬 昂扬 高昂 
昂首	［同］举首 仰首 抬头 举头  ［反］低头 俯首 
昂首阔步1	［同］阔步前进 
昂首阔步2	［同］突飞猛进 一往无前 勇往直前 
昂司	［同］低廉 便宜 
昂扬	［同］高昂 昂然 激昂 激扬 ［反］消沉 低沉 
凹	［同］凹陷 下陷 洼陷 低洼 ［反］凸 
凹岸	［反］凸岸 
凹凹凸凸	［同］凹凸不平 高低不平 坑坑洼洼 高高低低 
凹版	［同］凸版 
凹多边形	［反］凸多边形 
